inference,cycle,stage,timestep,fc2_idx,fc2_raw,fc2_signed,fc2_float,fc2_sat_pos,fc2_sat_neg,fc2_sat_pos_count,fc2_sat_neg_count,obs0,obs1,obs2,obs3,obs0_fixed,obs1_fixed,obs2_fixed,obs3_fixed,hl1_spike_count,hl1_t0_curr_sample,hl1_t0_spike_sample,hl2_mem_mean,hl2_mem_max,hl2_mem_min,q_read_timestep,q_state,q_accum0,q_accum1,q_div0,q_div1,selected_action
0,38,fc2_stream,0,0,16768725,-8491,-1.0364990234375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,39,fc2_stream,0,1,16771236,-5980,-0.72998046875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,40,fc2_stream,0,2,2903,2903,0.3543701171875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,41,fc2_stream,0,3,3452,3452,0.42138671875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,42,fc2_stream,0,4,5437,5437,0.6636962890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,43,fc2_stream,0,5,6117,6117,0.7467041015625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,44,fc2_stream,0,6,8144,8144,0.994140625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,45,fc2_stream,0,7,16771716,-5500,-0.67138671875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,46,fc2_stream,0,8,16771000,-6216,-0.7587890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,47,fc2_stream,0,9,16776461,-755,-0.0921630859375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,48,fc2_stream,0,10,16769387,-7829,-0.9556884765625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,49,fc2_stream,0,11,16769314,-7902,-0.964599609375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,50,fc2_stream,0,12,16772766,-4450,-0.543212890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,51,fc2_stream,0,13,16769301,-7915,-0.9661865234375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,52,fc2_stream,0,14,16768872,-8344,-1.0185546875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,53,fc2_stream,0,15,16769925,-7291,-0.8900146484375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,53,timestep_summary,0,,,,,,,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,-1697.375,7628,-7954,0,0,0,0,0,0,
0,59,fc2_stream,1,0,16768725,-8491,-1.0364990234375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,60,fc2_stream,1,1,16771236,-5980,-0.72998046875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,61,fc2_stream,1,2,2903,2903,0.3543701171875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,62,fc2_stream,1,3,3452,3452,0.42138671875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,63,fc2_stream,1,4,5437,5437,0.6636962890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,64,fc2_stream,1,5,6117,6117,0.7467041015625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,65,fc2_stream,1,6,8144,8144,0.994140625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,66,fc2_stream,1,7,16771716,-5500,-0.67138671875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,67,fc2_stream,1,8,16771000,-6216,-0.7587890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,68,fc2_stream,1,9,16776461,-755,-0.0921630859375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,69,fc2_stream,1,10,16769387,-7829,-0.9556884765625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,70,fc2_stream,1,11,16769314,-7902,-0.964599609375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,71,fc2_stream,1,12,16772766,-4450,-0.543212890625,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,72,fc2_stream,1,13,16769301,-7915,-0.9661865234375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,73,fc2_stream,1,14,16768872,-8344,-1.0185546875,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,74,fc2_stream,1,15,16769925,-7291,-0.8900146484375,0,0,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,,,,,,,,,,
0,74,timestep_summary,1,,,,,,,0,0,0.02739560417830944,-0.006112155970185995,0.03585979342460632,0.019736802205443382,224,65486,294,162,,,,-2612.75,7628,-7954,0,0,0,0,0,0,
